"","diff","lwr","upr","padj","sign"
"S21-S5",-4.93591251027863,-10.9869472232243,1.11512220266706,0.34273017261814,""
"S22-S5",-5.44104998844873,-11.4920847013944,0.609984724496962,0.16029228357022,""
"S23-S5",-5.44104998844872,-11.4920847013944,0.609984724496978,0.160292283570225,""
"S24-S5",-5.10054853642088,-11.1515832493666,0.950486176524818,0.273515316269081,""
"S25-S5",-5.31735581780774,-11.3683905307534,0.73367889513795,0.196637467057331,""
"S26-S5",-5.37823714162367,-11.4292718545694,0.672797571322029,0.178074532933115,""
"S27-S5",-5.44104998844872,-11.4920847013944,0.609984724496971,0.160292283570222,""
"S28-S5",-5.10281103291342,-11.1538457458591,0.948223680032277,0.272627039040745,""
"S29-S5",-5.44104998844871,-11.4920847013944,0.60998472449698,0.160292283570225,""
"S30-S5",-4.85516618086484,-10.9062008938105,1.19586853208085,0.379716692330413,""
"unk-S5",-5.44104998844872,-11.4920847013944,0.609984724496974,0.160292283570224,""
"S7-S6",51.9480724795059,45.8970377665602,57.9991071924515,0,"*"
"S8-S6",7.08238331993806,1.03134860699236,13.1334180328837,0.00418491020924761,"*"
"S9-S6",3.68595654556885,-2.36507816737685,9.73699125851454,0.904584355369387,""
"S10-S6",-0.338036606125367,-6.38907131907106,5.71299810682033,1,""
"S11-S6",1.31750413842086,-4.73353057452484,7.36853885136655,0.999999999898471,""
"S12-S6",0.478171602534096,-5.5728631104116,6.52920631547979,1,""
"S13-S6",0.926159236202421,-5.12487547674327,6.97719394914812,1,""
"S14-S6",0.182979664200191,-5.8680550487455,6.23401437714588,1,""
"S15-S6",-0.381909112169587,-6.43294382511528,5.66912560077611,1,""
"S16-S6",1.77683569027159,-4.2741990226741,7.82787040321729,0.999999803194932,""
"S17-S6",0.61607171916203,-5.43496299378366,6.66710643210772,1,""
"S18-S6",1.53478752063093,-4.51624719231476,7.58582223357662,0.999999994667763,""
"S19-S6",0.160878271469273,-5.89015644147642,6.21191298441497,1,""
"S20-S6",0.409851718225315,-5.64118299472038,6.46088643117101,1,""
"S21-S6",0.123228366000598,-5.9278063469451,6.17426307894629,1,""
"S22-S6",-0.381909112169501,-6.43294382511519,5.66912560077619,1,""
"S23-S6",-0.381909112169484,-6.43294382511518,5.66912560077621,1,""
"S24-S6",-0.0414076601416444,-6.09244237308734,6.00962705280405,1,""
"S25-S6",-0.258214941528512,-6.30924965447421,5.79281977141718,1,""
"S26-S6",-0.319096265344433,-6.37013097829013,5.73193844760126,1,""
"S27-S6",-0.381909112169491,-6.43294382511518,5.6691256007762,1,""
"S28-S6",-0.0436701566341853,-6.09470486957988,6.00736455631151,1,""
"S29-S6",-0.381909112169482,-6.43294382511518,5.66912560077621,1,""
"S30-S6",0.20397469541439,-5.8470600175313,6.25500940836008,1,""
"unk-S6",-0.381909112169488,-6.43294382511518,5.66912560077621,1,""
"S8-S7",-44.8656891595678,-50.9167238725135,-38.8146544466221,0,"*"
"S9-S7",-48.262115933937,-54.3131506468827,-42.2110812209913,0,"*"
"S10-S7",-52.2861090856312,-58.3371437985769,-46.2350743726855,0,"*"
"S11-S7",-50.630568341085,-56.6816030540307,-44.5795336281393,0,"*"
