"","sig1","sig2","pval","padj","sign"
"162","S6","S28",0.677223518738064,0.737894875138327,""
"163","S6","S29",0.120749429384323,0.287498641391245,""
"164","S6","S30",0.783986399332267,0.825233844830108,""
"165","S6","unknown",0.0643785037028108,0.222848666663576,""
"166","S7","S8",2.87140505264254e-11,6.42326235600177e-10,"*"
"167","S7","S9",2.87140505264254e-11,6.42326235600177e-10,"*"
"168","S7","S10",2.87140505264254e-11,6.42326235600177e-10,"*"
"169","S7","S11",6.37940219594666e-11,9.89907237302068e-10,"*"
"170","S7","S12",3.07907628236338e-11,6.42326235600177e-10,"*"
"171","S7","S13",3.17516892736947e-11,6.42326235600177e-10,"*"
"172","S7","S14",2.87140505264254e-11,6.42326235600177e-10,"*"
"173","S7","S15",3.61977079236319e-11,6.42326235600177e-10,"*"
"174","S7","S16",2.87140505264254e-11,6.42326235600177e-10,"*"
"175","S7","S17",3.31678264060931e-11,6.42326235600177e-10,"*"
"176","S7","S18",3.14211146401101e-11,6.42326235600177e-10,"*"
"177","S7","S19",3.71121825013436e-11,6.42326235600177e-10,"*"
"178","S7","S20",3.10997521307582e-11,6.42326235600177e-10,"*"
"179","S7","S21",2.99178500425058e-11,6.42326235600177e-10,"*"
"180","S7","S22",2.9858416298184e-11,6.42326235600177e-10,"*"
"181","S7","S23",5.82885501927415e-11,9.36780270954774e-10,"*"
"182","S7","S24",3.19855469901134e-11,6.42326235600177e-10,"*"
"183","S7","S25",2.93616969136891e-11,6.42326235600177e-10,"*"
"184","S7","S26",2.87140505264254e-11,6.42326235600177e-10,"*"
"185","S7","S27",2.99128215506437e-11,6.42326235600177e-10,"*"
"186","S7","S28",3.12860005735434e-11,6.42326235600177e-10,"*"
"187","S7","S29",2.92999838659706e-11,6.42326235600177e-10,"*"
"188","S7","S30",3.12171180428122e-11,6.42326235600177e-10,"*"
"189","S7","unknown",2.87140505264254e-11,6.42326235600177e-10,"*"
"190","S8","S9",NA,NA,NA
"191","S8","S10",NA,NA,NA
"192","S8","S11",0.00144315177642653,0.0115967553462846,"*"
"193","S8","S12",0.135723262550808,0.296482855086718,""
"194","S8","S13",0.233863179271168,0.401673399511548,""
"195","S8","S14",NA,NA,NA
"196","S8","S15",0.0837987749617639,0.242923961407868,""
"197","S8","S16",NA,NA,NA
"198","S8","S17",0.0900790910866844,0.242923961407868,""
"199","S8","S18",0.0824141057151262,0.242923961407868,""
"200","S8","S19",0.0764038841714619,0.242923961407868,""
"201","S8","S20",0.22770400609951,0.401673399511548,""
"202","S8","S21",0.19442093188956,0.363026636308307,""
"203","S8","S22",0.326527022260616,0.433442949903476,""
"204","S8","S23",0.00868517033934524,0.050106751957761,""
"205","S8","S24",0.0939305984110418,0.242923961407868,""
"206","S8","S25",0.326527022260616,0.433442949903476,""
"207","S8","S26",NA,NA,NA
"208","S8","S27",0.326527022260616,0.433442949903476,""
"209","S8","S28",0.27860753772189,0.433442949903476,""
"210","S8","S29",0.168183000477355,0.336366000954715,""
"211","S8","S30",0.293720993213489,0.433442949903476,""
"212","S8","unknown",0.326527022260616,0.433442949903476,""
"213","S9","S10",NA,NA,NA
"214","S9","S11",0.00144315177642653,0.0115967553462846,"*"
"215","S9","S12",0.135723262550808,0.296482855086718,""
"216","S9","S13",0.233863179271168,0.401673399511548,""
"217","S9","S14",NA,NA,NA
"218","S9","S15",0.0837987749617639,0.242923961407868,""
"219","S9","S16",NA,NA,NA
"220","S9","S17",0.0900790910866844,0.242923961407868,""
