"","diff","lwr","upr","padj","sign"
"S12-S11",-0.319834349839738,-4.24983752685616,3.61016882717668,1,""
"S13-S11",-0.307724404344091,-4.23772758136051,3.62227877267233,1,""
"S14-S11",-1.04388746269581,-4.97389063971223,2.88611571432061,0.999999984239785,""
"S15-S11",-1.31942571743446,-5.24942889445088,2.61057745958196,0.999995929688742,""
"S16-S11",0.99604027199722,-2.9339629050192,4.92604344901364,0.999999995164786,""
"S17-S11",-0.786983083030487,-4.71698626004691,3.14302009398593,0.999999999990279,""
"S18-S11",-0.105435423853508,-4.03543860086993,3.82456775316291,1,""
"S19-S11",-0.958534718203635,-4.88853789522006,2.97146845881279,0.999999998186789,""
"S20-S11",-0.892562446138522,-4.82256562315494,3.0374407308779,0.999999999715872,""
"S21-S11",-0.91381655678962,-4.84381973380604,3.0161866202268,0.999999999474018,""
"S22-S11",-1.34229691485335,-5.27230009186977,2.58770626216307,0.999994042945016,""
"S23-S11",-1.34229691485334,-5.27230009186976,2.58770626216309,0.999994042945016,""
"S24-S11",-1.17858441847199,-5.10858759548841,2.75141875854443,0.999999697032624,""
"S25-S11",-0.904389384416644,-4.83439256143307,3.02561379259978,0.999999999598825,""
"S26-S11",-1.31230959283466,-5.24231276985108,2.61769358418177,0.999996392458777,""
"S27-S11",-1.34229691485338,-5.2723000918698,2.58770626216304,0.999994042945016,""
"S28-S11",-1.1289710896996,-5.05897426671602,2.80103208731682,0.999999891823034,""
"S29-S11",-1.34229691485343,-5.27230009186985,2.58770626216299,0.999994042945016,""
"S30-S11",-0.879486727172061,-4.80948990418848,3.05051644984436,0.999999999807287,""
"unk-S11",-1.34229691485342,-5.27230009186984,2.58770626216301,0.999994042945016,""
"S13-S12",0.0121099454956464,-3.91789323152077,3.94211312251207,1,""
"S14-S12",-0.724053112856072,-4.65405628987249,3.20595006416035,0.999999999999217,""
"S15-S12",-0.999591367594719,-4.92959454461114,2.9304118094217,0.999999994707792,""
"S16-S12",1.31587462183696,-2.61412855517946,5.24587779885338,0.999996167095726,""
"S17-S12",-0.467148733190749,-4.39715191020717,3.46285444382567,1,""
"S18-S12",0.21439892598623,-3.71560425103019,4.14440210300265,1,""
"S19-S12",-0.638700368363897,-4.56870354538032,3.29130280865252,1,""
"S20-S12",-0.572728096298785,-4.50273127331521,3.35727508071764,1,""
"S21-S12",-0.593982206949882,-4.5239853839663,3.33602097006654,1,""
"S22-S12",-1.02246256501361,-4.95246574203003,2.90754061200281,0.99999999062821,""
"S23-S12",-1.0224625650136,-4.95246574203002,2.90754061200282,0.99999999062821,""
"S24-S12",-0.858750068632252,-4.78875324564867,3.07125310838417,0.99999999989745,""
"S25-S12",-0.584555034576907,-4.51455821159333,3.34544814243951,1,""
"S26-S12",-0.992475242994918,-4.92247842001134,2.9375279340215,0.999999995585804,""
"S27-S12",-1.02246256501364,-4.95246574203006,2.90754061200278,0.99999999062821,""
"S28-S12",-0.809136739859861,-4.73913991687628,3.12086643715656,0.999999999979167,""
"S29-S12",-1.02246256501369,-4.95246574203012,2.90754061200273,0.99999999062821,""
"S30-S12",-0.559652377332323,-4.48965555434874,3.3703507996841,1,""
"unk-S12",-1.02246256501368,-4.9524657420301,2.90754061200274,0.99999999062821,""
"S14-S13",-0.736163058351718,-4.66616623536814,3.1938401186647,0.99999999999856,""
"S15-S13",-1.01170131309037,-4.94170449010679,2.91830186392606,0.999999992822186,""
"S16-S13",1.30376467634131,-2.62623850067511,5.23376785335773,0.999996883531302,""
"S17-S13",-0.479258678686396,-4.40926185570282,3.45074449833003,1,""
"S18-S13",0.202288980490583,-3.72771419652584,4.132292157507,1,""
"S19-S13",-0.650810313859544,-4.58081349087596,3.27919286315688,1,""
"S20-S13",-0.584838041794431,-4.51484121881085,3.34516513522199,1,""
"S21-S13",-0.606092152445528,-4.53609532946195,3.32391102457089,1,""
"S22-S13",-1.03457251050926,-4.96457568752568,2.89543066650716,0.999999987404863,""
"S23-S13",-1.03457251050924,-4.96457568752567,2.89543066650718,0.999999987404863,""
"S24-S13",-0.870860014127898,-4.80086319114432,3.05914316288852,0.99999999985143,""
"S25-S13",-0.596664980072553,-4.52666815708897,3.33333819694387,1,""
